,Unnamed: 0,name,id,top_kpop,genre,followers,name_lower
439,973,TAEMIN,13rF01aOogvnkuQXOlgTW8,1,['k-pop'],2634992,taemin
84,155,TAEYANG,6udveWUgX4vu75FF0DTrXV,0,['korean r&b'],976088,taeyang
440,974, TAEYEON,3qNVuliS40BLgXGxhdBdqu,1,"['k-pop', 'pop']",2711065,taeyeon
411,887, TAEYONG,6SKusTjOAPsTZ6kareKQdm,0,['k-pop'],1032232,taeyong
55,104, Takanori Nishikawa T.M.Revolution,0pPQ5V1o6LrB7wdt9yzUkM,0,[],626,takanori nishikawa t.m.revolution
34,64, Tara,24JAAnBviO3vTMZ5N9taj8,0,['cook islands pop'],2632,tara
382,833, Tarin,4UEKXXZ65FBcAJPVerQjtO,0,['k-indie'],6891,tarin
458,1018,TEEN TOP,3offPqpKAKmpQkIdWnjzkc,1,"['k-pop', 'k-pop boy group']",383830,teen top
460,1020,THE BOYZ,0CmvFWTX9zmMNCUi6fHtAx,1,"['k-pop', 'k-pop boy group']",2400443,the boyz
15,31,The Chosen,4zaS9mItqCC5OQpML2VDu2,0,[],12573,the chosen
451,1002, The One,3eAsBHDYXtCSn67Zynq3Qd,0,['korean pop'],8188,the one
160,339, The Quiett,2qI1pO64eYqGUiv1XTw4cy,0,"['k-rap', 'korean r&b', 'korean trap']",106042,the quiett
466,1029,TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,1,"['k-pop', 'k-pop boy group']",7731479,tomorrow x together
438,965,TVXQ!,6nVMMEywS5Y4tsHPKx1nIo,0,"['k-pop', 'k-pop boy group']",799447,tvxq!
462,1023,TWICE,7n2Ycct7Beij7Dj7meI4X0,1,"['k-pop', 'k-pop girl group']",17065621,twice
96,177, U-KWON,1dpFCgmBpElH7pcsfSfXqG,0,[],23943,u-kwon
254,549,Ulala Session,2EFJSNZzGSfLXMfAaxbK2A,0,[],3663,ulala session
151,300, Uneducated Kid,08KbKkPqaYNFYM9R5eMjuM,0,['k-rap'],30781,uneducated kid
473,1041,Untouchable,2HDRkPTO5A59sFcC2ROGbw,1,['k-rap'],7309,untouchable
367,800, Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,0,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton', 'pop dance']",228516,valentino khan
476,1046, Vasco,3z6WtIVxUiLNKDrUchJGrX,0,['danish electropop'],749,vasco
183,388, Verbal Jint,24sQuJhQ85ZygDG7sUVUxR,0,"['k-indie', 'k-rap', 'korean old school hip hop']",70996,verbal jint
363,792, Viann,7yRs5f61v5AwXwVlUQ7bNE,0,[],1242,viann
58,108, VICTON,0ziR2zN0NFcB4x1G3P8cW3,0,"['k-pop', 'k-pop boy group']",866124,victon
489,1077,VIXX,5BkB3rXc0qIdUtuEnhbK0A,1,"['k-pop', 'k-pop boy group']",958660,vixx
503,1108, WENDY,0FRUZvZNPzM3YJMABJxf2K,0,"['k-pop', 'korean pop']",818839,wendy
359,786, Whee In,0BqRGrwqndrtNkojXiqIzL,0,"['k-pop', 'korean ost']",825098,whee in
365,796, Will Not Fear,3zQf6Ogadb67LzdBTHaZ0N,0,[],639,will not fear
280,602, Willim,5bp5XaFz8Py4UFEhQ6FZRk,0,[],1563,willim
491,1081,WINNER,5DuzBeOgFwViFcv00Q5PFb,1,"['k-pop', 'k-pop boy group']",2477375,winner
12,21, Wolftyla,7qd6KGoABHifvXKeFNe2Yb,0,['trap queen'],61461,wolftyla
497,1091,Wonder Girls,3Cv2vi3WTl8VZOTdrBkKdM,1,"['k-pop', 'k-pop girl group']",690623,wonder girls
220,466, Wonstein,5o615XColiSVMPDWlslKSk,0,[],103473,wonstein
245,522, WOOGIE,7C0lSOS41UnTbnF7bMSEWN,0,"['k-rap', 'korean r&b']",87486,woogie
311,685, Yang Da Il,5DnjOSzLCfn4hDbLECq8pt,0,"['k-pop', 'korean pop']",135959,yang da il
51,98,Yang Hee Eun,0BD74hBusWzcPz44wFskYb,0,"['classic korean pop', 'korean singer-songwriter']",10600,yang hee eun
80,147, Yang Yoseob,1fwMtpwCEJovQuyxSuHcAd,0,"['k-pop', 'korean pop']",54743,yang yoseob
184,390,yangpa,5Qr33OZrOzmTJwxpUVZI7m,0,[],85,yangpa
248,529, YEJI & RYUJIN of ITZY,4TYswX6bKUjM9rbEL7CMBH,0,[],4735,yeji & ryujin of itzy
360,788, Yella Diamond) (Performed by JooHeon,5KnPgqPc7aCvEfXrCs4QjV,0,[],2,yella diamond) (performed by jooheon
387,840, Yeo-Eun (MelodyDay),2oG0hcbCfRofbtKnuS1fWF,0,[],27,yeo-eun (melodyday)
178,378, YEZI,6LPOT9C3gvGQHxlZtMLHHg,0,['k-pop'],131364,yezi
79,146,Yong Jun Hyung,4drjiBRSqZoTD67xgZCmNo,0,[],49777,yong jun hyung
119,231, YOO SUNGEUN,7M5YdBeK8dsO39SHHvOYy8,0,[],34,yoo sungeun
376,823, YooA,4ur1jCwyNlhgd0viJkOtcQ,0,['k-pop'],85142,yooa
