,name,id,top_kpop,genre,followers
2464, B2K,51d3rUlLuMh7EW09aMe7yj,0,"['boy band', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",759383
2471,Spott,0gQWoLdyMfjBGGITOMhTh8,0,[],366
2472, Spica,5lvNsrcLos9vZpLQCJk4YK,1,['k-pop girl group'],90078
2487, KaiKai Kim,75hyzstWgEHVhzaYda0gou,0,[],0
2513,Alesso,4AVFqumd2ogHFlRbKIjp1t,0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",3920776
2514, CORSAK,1TcbdifqhtxLz77unBYJ7z,0,['chinese electropop'],37768
2521, Stray Kids,2dIgFjalVxs4ThymZ67YCE,1,"['k-pop', 'k-pop boy group']",10774474
2527, Leslie Grace,6BeO1KuAWBqFriL1mLHtNc,0,"['bachata', 'hollywood', 'show tunes']",1190402
2535, Play-N-Skillz,7MP4jhYmFEgb0AtiOkw55s,0,"['chicano rap', 'pop rap']",23755
2541,TVXQ!,6nVMMEywS5Y4tsHPKx1nIo,0,"['k-pop', 'k-pop boy group']",799120
2542, SUPER JUNIOR,6gzXCdfYfFe5XKhPKkYqxV,1,"['k-pop', 'k-pop boy group']",2349002
2562, TAEYEON,3qNVuliS40BLgXGxhdBdqu,1,"['k-pop', 'pop']",2710203
2569, Minit,6TXbTOTnLFaF1iHywOaV1m,0,[],8893
2576, SUMIN,0K4MGKGmjtdIE0W3GkGmyU,0,"['k-indie', 'korean city pop', 'korean electropop', 'korean r&b']",54828
2583,JONGHYUN,5rGgflnIpRNizTCozbYBuY,0,['k-pop'],793398
2584, TAEMIN,13rF01aOogvnkuQXOlgTW8,1,['k-pop'],2633393
2590, KAI,6iVo62B0bdTknRcrktCmak,0,['k-pop'],945096
2597, ZHU,28j8lBWDdDSHSSt5oPlsX2,0,"['edm', 'electro house']",819698
2604, Moon Kyoo,1AhVoVOXXDOP5pkhUvoSjH,0,[],583
2611, GINJO,75vTLAnhUDaUwzjPCKvaJM,0,[],5644
2618,Lee Seung Chul,5Ecf8RR2UWFAvyeItabffF,0,['korean pop'],61990
2632, MeloMance,6k4r73Wq8nhkCDoUsECL1e,0,"['k-pop', 'korean pop']",222691
2639, LUCAS,6S3tOdgtc5qz16hwmMjEBN,0,[],38529
2653, The One,3eAsBHDYXtCSn67Zynq3Qd,0,['korean pop'],8187
2660, 젓가락형제,0tCF3alKq0KqzEn0iaEqIP,0,[],25
2674, Shannon,3hi7ew4Y6Lr9lWS1E3lDBX,0,['freestyle'],18775
2675, 건지,79xtZ56bsMOQwiTe5Ob1jD,0,[],64
2681,JooHyun Oak,22GsBXoNH88NIr7Rl8k7oz,0,['korean musicals'],300
2682, SG Wannabe,2c3IakpImjWyeXNvyyGsdn,0,"['k-pop', 'korean ost', 'korean pop']",176827
2688, 초신성,0buWcDodnGf3u36oAQPHzW,0,[],154
2702, Maboos,2uch5GhXkpT561NB95OYBL,0,[],147
2709,Raiden,4YXNoMVTHRt01jYaKXTumJ,0,['korean electronic'],66751
2710, THE BOYZ,0CmvFWTX9zmMNCUi6fHtAx,1,"['k-pop', 'k-pop boy group']",2397724
2716, ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,0,"['edm', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",94606
