,song_name,name_10,kpop_artist_name,all_artists,song_id,song_api_info,artist_id,all_artists_id,all_artists_list,all_artists_id_list,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,name_5
8005,LUCKY MAN,LUCKY MAN,Untouchable,"Untouchable, Hwayoung",2hOwJ9Z7BcTEn1wOENAZ7q,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/79bfJJgSFky7U35QruEWMV'}, 'href': 'https://api.spotify.com/v1/artists/79bfJJgSFky7U35QruEWMV', 'id': '79bfJJgSFky7U35QruEWMV', 'name': 'Hwayoung', 'type': 'artist', 'uri': 'spotify:artist:79bfJJgSFky7U35QruEWMV'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 79bfJJgSFky7U35QruEWMV",[' Hwayoung'],[' 79bfJJgSFky7U35QruEWMV'], Hwayoung, 79bfJJgSFky7U35QruEWMV,,,,,,,,,,,,,LUCKY
8007,Don't Leave Me (feat. 이현),Don't Leav,Untouchable,"Untouchable, 이현",6Qv4UyM3HDO2wK6DasLSXs,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5Lz362V3wxefNeMeCFeVMm'}, 'href': 'https://api.spotify.com/v1/artists/5Lz362V3wxefNeMeCFeVMm', 'id': '5Lz362V3wxefNeMeCFeVMm', 'name': '이현', 'type': 'artist', 'uri': 'spotify:artist:5Lz362V3wxefNeMeCFeVMm'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 5Lz362V3wxefNeMeCFeVMm",[' 이현'],[' 5Lz362V3wxefNeMeCFeVMm'], 이현, 5Lz362V3wxefNeMeCFeVMm,,,,,,,,,,,,,Don't
8008,RAINY DAY (feat. Vasco),RAINY DAY ,Untouchable,"Untouchable, Vasco",5qo0n6OucFlKwjgCZZBqt8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3z6WtIVxUiLNKDrUchJGrX'}, 'href': 'https://api.spotify.com/v1/artists/3z6WtIVxUiLNKDrUchJGrX', 'id': '3z6WtIVxUiLNKDrUchJGrX', 'name': 'Vasco', 'type': 'artist', 'uri': 'spotify:artist:3z6WtIVxUiLNKDrUchJGrX'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 3z6WtIVxUiLNKDrUchJGrX",[' Vasco'],[' 3z6WtIVxUiLNKDrUchJGrX'], Vasco, 3z6WtIVxUiLNKDrUchJGrX,,,,,,,,,,,,,RAINY
8009,Living in the Heart (feat. Narsha),Living in ,Untouchable,"Untouchable, NARSHA",7fYc36q01UUFCsLsMks7uV,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1OWVHV30ai3o8cgOTBVd72'}, 'href': 'https://api.spotify.com/v1/artists/1OWVHV30ai3o8cgOTBVd72', 'id': '1OWVHV30ai3o8cgOTBVd72', 'name': 'NARSHA', 'type': 'artist', 'uri': 'spotify:artist:1OWVHV30ai3o8cgOTBVd72'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 1OWVHV30ai3o8cgOTBVd72",[' NARSHA'],[' 1OWVHV30ai3o8cgOTBVd72'], NARSHA, 1OWVHV30ai3o8cgOTBVd72,,,,,,,,,,,,,Livin
8010,Why You Why Me (feat. HWAYOUNG),Why You Wh,Untouchable,"Untouchable, HWAYOUNG",6IDR5S4I5mun1TmpVo4KnS,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zVPLQ7lxEfEb3YTkymd7L'}, 'href': 'https://api.spotify.com/v1/artists/4zVPLQ7lxEfEb3YTkymd7L', 'id': '4zVPLQ7lxEfEb3YTkymd7L', 'name': 'HWAYOUNG', 'type': 'artist', 'uri': 'spotify:artist:4zVPLQ7lxEfEb3YTkymd7L'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 4zVPLQ7lxEfEb3YTkymd7L",[' HWAYOUNG'],[' 4zVPLQ7lxEfEb3YTkymd7L'], HWAYOUNG, 4zVPLQ7lxEfEb3YTkymd7L,,,,,,,,,,,,,Why Y
8011,Merry Christmas (feat. Hwayoung),Merry Chri,Untouchable,"Untouchable, Hwayoung",3KoMoEW6oYZcrxS1JfijID,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/11yBes7jdmXosQVHbbR8Py'}, 'href': 'https://api.spotify.com/v1/artists/11yBes7jdmXosQVHbbR8Py', 'id': '11yBes7jdmXosQVHbbR8Py', 'name': 'Hwayoung', 'type': 'artist', 'uri': 'spotify:artist:11yBes7jdmXosQVHbbR8Py'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 11yBes7jdmXosQVHbbR8Py",[' Hwayoung'],[' 11yBes7jdmXosQVHbbR8Py'], Hwayoung, 11yBes7jdmXosQVHbbR8Py,,,,,,,,,,,,,Merry
8015,Monday syndrome (feat. 김화영),Monday syn,Untouchable,"Untouchable, 김화영",4hzuawLS7IYNYfcwK16u8B,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1pEirsoHYEMB0rxhzNkXeU'}, 'href': 'https://api.spotify.com/v1/artists/1pEirsoHYEMB0rxhzNkXeU', 'id': '1pEirsoHYEMB0rxhzNkXeU', 'name': '김화영', 'type': 'artist', 'uri': 'spotify:artist:1pEirsoHYEMB0rxhzNkXeU'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 1pEirsoHYEMB0rxhzNkXeU",[' 김화영'],[' 1pEirsoHYEMB0rxhzNkXeU'], 김화영, 1pEirsoHYEMB0rxhzNkXeU,,,,,,,,,,,,,Monda
8017,My Boo (feat. Jun Hyo Seong & Han sun hwa),My Boo (fe,Untouchable,"Untouchable, Jun Hyo Seong, Han sun hwa",0R6zReLSfmGLhuQUQnKSl1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/73RRzEpK7IQexOhC0CuTRZ'}, 'href': 'https://api.spotify.com/v1/artists/73RRzEpK7IQexOhC0CuTRZ', 'id': '73RRzEpK7IQexOhC0CuTRZ', 'name': 'Jun Hyo Seong', 'type': 'artist', 'uri': 'spotify:artist:73RRzEpK7IQexOhC0CuTRZ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3zfGhm4kLXQ8o4xJewVGO5'}, 'href': 'https://api.spotify.com/v1/artists/3zfGhm4kLXQ8o4xJewVGO5', 'id': '3zfGhm4kLXQ8o4xJewVGO5', 'name': 'Han sun hwa', 'type': 'artist', 'uri': 'spotify:artist:3zfGhm4kLXQ8o4xJewVGO5'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 73RRzEpK7IQexOhC0CuTRZ, 3zfGhm4kLXQ8o4xJewVGO5","[' Jun Hyo Seong', ' Han sun hwa']","[' 73RRzEpK7IQexOhC0CuTRZ', ' 3zfGhm4kLXQ8o4xJewVGO5']", Jun Hyo Seong, 73RRzEpK7IQexOhC0CuTRZ, Han sun hwa, 3zfGhm4kLXQ8o4xJewVGO5,,,,,,,,,,,My Bo
8018,IT's OKAY (feat. Hwayobi),IT's OKAY ,Untouchable,"Untouchable, Park Hwayobi",0KriCEaXCxYm6JldcXQqdj,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5oihNt5Zntgh1XIsDqOGq5'}, 'href': 'https://api.spotify.com/v1/artists/5oihNt5Zntgh1XIsDqOGq5', 'id': '5oihNt5Zntgh1XIsDqOGq5', 'name': 'Park Hwayobi', 'type': 'artist', 'uri': 'spotify:artist:5oihNt5Zntgh1XIsDqOGq5'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 5oihNt5Zntgh1XIsDqOGq5",[' Park Hwayobi'],[' 5oihNt5Zntgh1XIsDqOGq5'], Park Hwayobi, 5oihNt5Zntgh1XIsDqOGq5,,,,,,,,,,,,,IT's 
8019,다줄께 (feat. 송지은),다줄께 (feat.,Untouchable,"Untouchable, Song Ji Eun",7fM0k12JkPmLoEjbkRxgxE,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HDRkPTO5A59sFcC2ROGbw'}, 'href': 'https://api.spotify.com/v1/artists/2HDRkPTO5A59sFcC2ROGbw', 'id': '2HDRkPTO5A59sFcC2ROGbw', 'name': 'Untouchable', 'type': 'artist', 'uri': 'spotify:artist:2HDRkPTO5A59sFcC2ROGbw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0D40an6y5Cv6sRzMGsRRQ8'}, 'href': 'https://api.spotify.com/v1/artists/0D40an6y5Cv6sRzMGsRRQ8', 'id': '0D40an6y5Cv6sRzMGsRRQ8', 'name': 'Song Ji Eun', 'type': 'artist', 'uri': 'spotify:artist:0D40an6y5Cv6sRzMGsRRQ8'}]",2HDRkPTO5A59sFcC2ROGbw,"2HDRkPTO5A59sFcC2ROGbw, 0D40an6y5Cv6sRzMGsRRQ8",[' Song Ji Eun'],[' 0D40an6y5Cv6sRzMGsRRQ8'], Song Ji Eun, 0D40an6y5Cv6sRzMGsRRQ8,,,,,,,,,,,,,다줄께 (
